Name,Status,Dates,Moved To
DB Design and Infrastructure Setup,Done,"Mar 06, 2020 → Mar 12, 2020",
"Sign up, Login, Forget",Done,"Mar 12, 2020 → Mar 19, 2020",
Onboarding,Done,"Mar 19, 2020 → Mar 23, 2020",
Dashboard,Done,"Mar 19, 2020 → Mar 23, 2020",
"Profile, with image upload",Done,"Mar 23, 2020 → Mar 26, 2020",
Friends,Done,"Mar 26, 2020 → Apr 01, 2020",
Library,Done,"Mar 23, 2020 → Mar 26, 2020","Mar 30, 2020"
Reader / Comments,In Progress,"Apr 01, 2020 → Apr 10, 2020",
"Group Plans (List, Activity, Details)",,"Apr 07, 2020 → Apr 21, 2020",
Chat,,"Apr 10, 2020 → Apr 20, 2020",
Discover,,"Apr 20, 2020 → Apr 24, 2020",
Finishing the Design,,"Apr 20, 2020 → Apr 29, 2020",
,,,
,,,
